Station Name,Country,County,Operator,Visited,Visit Date,Favorite,Latitude,Longitude,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,201,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998
Adwick,England,South Yorkshire,Northern,No,,,53.57232101,-1.18035633,,"121,204","109,004","26,534","183,614","170,790","186,818","197,926","205,618","193,960","180,132","248,084","257,886","247,964","244,904","253,986","160,541","156,826","175,754","176,479",n/a,"115,496","118,995","137,124","161,888","135,959","88,633"
Aigburth,England,Merseyside,Merseyrail,No,,,53.36456801,-2.927155401,,"567,018","483,488","203,034","974,200","864,238","743,410","812,582","833,452","746,784","686,496","614,374","702,378","681,774","696,992","761,362","265,442","246,583","241,063","179,458",n/a,"146,283","133,724","141,935","150,190","142,020","135,081"
Ainsdale,England,Merseyside,Merseyrail,No,,,53.60203553,-3.042652521,,"920,626","768,028","321,382","1,127,850","1,016,242","928,028","1,023,510","1,004,554","983,858","956,960","899,420","960,772","972,616","955,328","998,438","345,791","328,423","322,911","289,260",n/a,"210,317","190,467","229,607","254,934","235,701","222,180"
Aintree,England,Merseyside,Merseyrail,No,,,53.47391276,-2.956280799,,"841,662","725,908","301,632","1,295,348","1,175,920","1,093,656","1,048,614","1,059,602","1,084,348","1,141,532","1,078,704","1,147,296","1,197,258","1,173,276","1,251,404","473,143","412,132","376,908","388,230",n/a,"284,514","242,879","255,994","267,449","244,779","236,070"
Airbles,Scotland,North Lanarkshire,ScotRail,No,,,55.78283784,-3.994193307,,"79,500","64,168","14,100","118,856","114,442","132,762","142,930","126,986","119,128","112,842","113,582","110,164","107,862","104,490","107,524","94,205","89,219","78,562","62,000",n/a,"41,145","38,034","45,936","48,240","46,086","42,628"
Airdrie,Scotland,North Lanarkshire,ScotRail,No,,,55.86398351,-3.982912925,,"632,798","476,662","121,496","1,009,104","1,098,012","1,118,132","1,086,244","1,074,866","1,104,190","1,079,692","1,154,032","1,158,642","1,191,156","1,054,910","1,067,384","988,115","994,172","952,361","909,986",n/a,"802,342","844,172","876,267","846,475","801,247","693,943"
Albany Park,England,London (City Of),Southeastern,No,,,51.43545074,0.125737066,,"622,490","509,626","213,044","972,604","1,006,946","954,906","966,726","991,150","1,048,330","990,096","945,350","917,874","913,852","919,586","969,360","964,636","937,865","764,994","727,796",n/a,"725,138","700,933","674,820","646,157","630,154","606,093"
Albrighton,England,Shropshire,West Midlands Railway,No,,,52.63794427,-2.268900245,,"69,556","56,078","16,886","99,316","101,548","98,872","99,380","95,322","89,410","89,358","87,842","104,902","79,232","77,240","77,216","63,997","56,118","49,847","44,289",n/a,"45,818","48,972","40,970","37,464","47,748","42,633"
Alderley Edge,England,Cheshire,Northern,No,,,53.3037821,-2.236799363,,"226,692","197,016","72,348","288,104","297,470","293,432","284,804","258,178","234,174","230,422","219,660","219,064","202,426","179,378","172,716","154,606","90,999","108,065","107,650",n/a,"112,810","121,050","118,007","126,774","135,491","138,171"
Aldermaston,England,Berkshire,Great Western Railway,No,,,51.40196186,-1.137423927,,"50,602","45,004","18,622","82,758","73,942","83,162","88,988","81,968","74,846","77,452","68,218","63,784","61,292","65,014","64,800","61,587","56,846","46,297","39,027",n/a,"43,919","44,317","48,318","45,642","45,571","44,391"
Aldershot ,England,Hampshire,South Western Railway,No,,,51.24641791,-0.759859888,,"1,093,476","888,372","364,844","1,283,830","1,367,252","1,394,782","1,437,614","1,465,212","1,434,250","1,401,204","1,448,130","1,469,676","1,492,704","1,406,724","1,441,470","1,415,479","1,277,324","1,196,067","1,121,499",n/a,"1,023,032","966,715","1,021,168","953,092","919,926","855,586"
Aldrington,England,East Sussex,GTR,No,,,50.83638241,-0.183821513,,"127,810","122,640","58,282","224,798","206,968","193,956","185,874","236,458","227,204","226,936","214,852","191,532","169,266","157,872","150,928","149,340","129,227","118,419","106,528",n/a,"91,941","95,840","83,580","85,544","78,043","63,843"
Alexandra Palace,England,London (City Of),GTR,No,,,51.59792249,-0.12023522,,"1,340,050","969,372","409,034","1,735,976","1,843,648","1,769,736","1,621,664","1,685,542","1,419,852","1,282,462","1,197,166","1,157,296","1,114,960","1,063,484","1,057,712","1,310,940","1,042,833","692,845","609,875",n/a,"592,357","523,460","491,852","515,642","476,131","412,146"
Alexandra Parade,Scotland,Glasgow City,ScotRail,No,,,55.86317598,-4.210648969,,"263,714","199,742","59,874","392,600","418,768","364,924","322,264","312,032","272,470","245,666","193,932","182,226","157,348","142,610","128,474","106,276","99,311","105,590","83,750",n/a,"48,028","66,252","82,836","65,298","26,072","20,211"
Alexandria,Scotland,West Dunbartonshire,ScotRail,No,,,55.98508877,-4.57748537,,"148,340","111,434","26,080","233,278","244,378","278,932","307,348","344,530","359,874","347,056","357,744","348,418","346,556","343,238","333,302","298,266","294,563","305,459","276,238",n/a,"270,904","285,191","308,072","335,803","337,257","274,790"
Alfreton,England,Derbyshire,East Midlands Railway,No,,,53.1004323,-1.369696216,,"289,838","245,910","61,690","311,030","314,464","294,758","292,130","282,880","269,698","241,066","224,866","212,016","205,306","187,552","158,850","134,946","156,614","153,909","150,999",n/a,"143,092","147,582","133,537","136,838","123,980","118,610"
Allens West,England,Durham (County Durham),Northern,No,,,54.52462337,-1.361116835,,"73,166","58,750","16,258","66,766","65,136","64,792","65,414","63,190","59,316","59,066","62,030","63,630","59,174","59,296","66,958","71,940","67,465","69,438","51,087",n/a,"45,197","41,386","39,146","37,221","31,938","28,475"
Alloa,Scotland,Clackmannanshire,ScotRail,No,,,56.1177936,-3.790056403,,"355,280","258,994","70,732","393,360","370,452","388,194","360,596","386,528","402,402","383,786","380,864","401,150","394,326","390,072","335,654",N/A,N/A,N/A,N/A,n/a,N/A,N/A,N/A,N/A,N/A,N/A
Alness,Scotland,Highland,ScotRail,No,,,57.69439917,-4.249717265,,"16,804","15,810","3,220","27,050","30,426","29,272","26,376","23,614","25,934","27,796","28,384","25,498","17,782","14,306","13,722","11,550","9,822","7,633","6,950",n/a,"3,717","2,530","2,788","1,917","2,275","2,221"
Alnmouth,England,Northumberland,Northern,No,,,55.39277864,-1.636637839,,"331,064","285,882","61,222","344,862","344,602","339,814","312,452","294,042","305,104","283,233","257,702","256,176","214,230","192,380","197,222","181,912","172,170","165,049","134,902",n/a,"86,436","89,266","91,053","92,305","83,956","72,864"
Alresford (Essex),England,Essex,Greater Anglia,No,,,51.85399744,0.997436403,,"63,450","47,180","15,816","65,602","62,994","61,752","69,720","68,436","62,098","57,480","57,342","58,734","62,516","56,012","50,888","46,833","48,966","45,144","49,386",n/a,"49,436","51,377","47,552","46,313","44,769","51,480"
Alsager,England,Cheshire,East Midlands Railway,No,,,53.09300541,-2.299057841,,"94,622","77,184","27,572","128,254","116,446","112,588","111,016","101,794","96,292","98,046","87,974","85,408","74,474","56,290","35,342","36,529","32,216","25,998","22,297",n/a,"25,350","30,219","31,690","36,544","41,990","41,649"
Althorne,England,Essex,Greater Anglia,No,,,51.64786753,0.752483415,,"21,908","18,576","6,736","39,690","43,816","40,788","44,538","41,456","45,346","43,006","38,346","37,012","36,708","35,084","42,418","46,917","34,042","39,640","43,158",n/a,"42,177","43,432","49,583","53,493","48,599","61,258"
Althorpe,England,Lincolnshire,Northern,No,,,53.58550035,-0.733182291,,"1,408","4,488","2,048","9,752","7,978","9,816","10,702","11,894","10,086","6,404","8,476","9,296","8,430","6,700","8,906","9,853","7,428","6,660","5,490",n/a,"2,783","3,322","4,408","5,006","5,681","5,143"
Altnabreac,Scotland,Highland,ScotRail,No,,,58.3881525,-3.706280968,,280,230,46,232,408,658,356,312,240,138,296,238,172,156,212,177,222,171,164,n/a,93,149,121,58,61,98
Alton ,England,Hampshire,South Western Railway,No,,,51.15196866,-0.966913303,,"496,032","386,882","133,396","679,324","711,292","710,322","716,162","753,202","744,138","697,306","720,584","717,170","720,478","706,582","650,674","625,926","548,291","498,254","480,790",n/a,"400,944","391,228","430,338","412,480","394,270","380,289"
Altrincham,England,Greater Manchester,Northern,No,,,53.38771872,-2.346889104,,"247,514","222,136","69,168","372,682","396,832","458,224","568,734","507,592","407,836","474,362","479,878","462,640","476,526","264,932","260,882","282,958","223,338","210,021","193,755",n/a,"146,100","183,800","192,583","198,719","203,942","212,746"
Alvechurch,England,Worcestershire,West Midlands Railway,No,,,52.34607212,-1.967660732,,"123,554","91,124","32,418","179,964","199,862","198,152","188,536","167,154","144,824","159,572","151,628","161,392","137,552","137,862","135,048","94,129","94,100","94,044","76,963",n/a,"68,407","68,306","67,479","67,124","80,110","62,955"
Ambergate,England,Derbyshire,East Midlands Railway,No,,,53.06051708,-1.480697582,,"33,162","27,852","8,956","41,552","41,130","46,552","46,890","41,506","39,122","39,848","38,444","39,952","39,600","35,842","25,868","19,807","17,222","19,006","18,655",n/a,"18,532","21,632","22,784","23,673","24,391","24,220"
Amberley,England,West Sussex,GTR,No,,,50.89667919,-0.541992408,,"60,580","44,318","17,084","59,806","60,296","53,704","50,596","57,828","58,380","58,738","60,674","61,468","48,994","49,006","48,570","40,397","38,292","34,295","33,103",n/a,"35,010","31,039","34,519","32,675","30,366","27,356"
Amersham,England,Buckinghamshire,London Underground,No,,,51.6742051,-0.607596139,,"1,563,462","1,140,340","450,702","2,067,212","1,991,780","1,940,360","1,958,866","1,944,310","2,133,978","2,164,370","2,035,452","1,784,008","1,713,718","1,218,936","1,059,766","1,510,922","1,805,767",N/A,N/A,n/a,N/A,N/A,N/A,N/A,N/A,N/A
Ammanford,Wales,Sir Gaerfyrddin - Carmarthenshire,Transport for Wales,No,,,51.79597955,-3.996735756,,"11,010","7,348",556,"18,016","19,596","19,934","19,428","18,968","20,238","19,912","20,412","18,892","19,256","17,524","16,506","14,782","12,163","14,627","17,463",n/a,"13,928","10,436","9,702","9,006","8,614","8,094"
Ancaster,England,Lincolnshire,East Midlands Railway,No,,,52.98768658,-0.535623734,,"7,548","6,160","1,798","5,006","5,904","6,572","7,162","7,356","9,910","8,878","7,408","4,042","4,388","3,764","4,652","5,238","6,109","4,641","4,468",n/a,"6,155","5,203","4,829","2,883","3,165","4,303"
Anderston,Scotland,Glasgow City,ScotRail,No,,,55.85990212,-4.270980032,,"228,506","217,646","119,942","715,074","728,408","711,556","661,282","624,644","633,668","602,826","630,822","647,182","576,912","551,894","561,906","428,595","381,946","340,728","240,667",n/a,"163,967","184,646","196,152","171,600","163,047","115,292"
Andover ,England,Hampshire,South Western Railway,No,,,51.21154761,-1.492233072,,"921,726","709,312","267,620","1,152,576","1,232,336","1,198,536","1,225,902","1,205,858","1,178,074","1,179,202","1,123,736","1,135,300","1,089,684","1,030,838","1,070,908","1,041,364","1,014,898","990,989","982,255",n/a,"833,452","785,952","760,806","690,449","632,178","588,571"
Anerley,England,London (City Of),London Overground,No,,,51.41215139,-0.065885922,,"900,882","727,730","325,286","1,033,264","1,043,346","994,266","973,012","887,484","760,490","735,932","688,280","628,650","508,902","380,320","387,558","407,730","389,392","235,382","239,360",n/a,"261,283","240,520","242,868","263,417","250,797","190,024"
Angmering,England,West Sussex,GTR,No,,,50.81657439,-0.489394019,,"733,842","677,210","290,554","859,340","826,622","801,006","699,978","865,380","882,480","883,150","864,926","819,488","764,818","690,682","678,478","659,931","614,236","553,609","526,011",n/a,"444,100","418,948","384,505","438,018","354,820","366,334"
Annan,Scotland,Dumfries and Galloway,ScotRail,No,,,54.98383888,-3.262581042,,"99,398","81,834","16,448","133,270","139,370","128,754","124,398","119,278","126,806","129,676","127,502","126,706","117,166","111,492","112,566","100,409","94,299","115,662","113,275",n/a,"89,753","78,959","75,838","64,923","49,566","36,056"
Anniesland,Scotland,Glasgow City,ScotRail,No,,,55.88935551,-4.321957842,,"735,448","564,808","173,104","1,144,568","1,136,078","1,195,190","1,218,022","1,154,430","1,133,042","1,066,714","1,145,740","1,103,308","1,047,958","998,824","962,696","848,987","808,956","775,049","662,422",n/a,"525,716","518,146","538,893","550,744","513,448","485,151"
Ansdell & Fairhaven,England,Lancashire,Northern,No,,,53.74146547,-2.993034447,,"40,982","35,218","9,476","42,386","32,240","32,482","40,528","38,794","36,794","41,812","59,344","41,518","40,238","35,424","36,544","36,242","34,237","30,608","26,801",n/a,"29,444","46,241","33,323","34,626","30,517","30,217"
